Unnamed: 0,user_id,business_id,text,date,compliment_count
59,dSHJYAlpW13oF_JMSfO3NA,8vnhWzXPo0Q69pzCZ8xb9w,Delicious food and prosecco on tap plus free wifi. What more do you need?,2014-06-23 00:01:44,0
96,4NasTqV-SeT76ijXUt-nXQ,q7w-JIWeEp64H2tou4sTrw,WTF froyo,2010-07-20 01:57:22,0
129,5m_t290HsdvjPmaBpX4fQA,0hbztFICCinuJRga2wYNJA,Get the punch card as well as daily specials every day of the week.,2014-09-02 05:48:55,0
222,KNbUYr91lq-ul-XI5bDfFQ,j8sj3FuOPDSgFFQahdnw0w,they are never open. don't even try to visit,2018-01-27 03:52:06,0
232,-K29SbpviWPK9NR7xAedmg,RL4H0wfUPiIkLfUM273Rdg,"Ask for a card, buy 10 get one meduim yougurt with one topping. Sweet deal.",2010-01-22 04:06:37,0
243,BJTabVaWNPlGFFiO4EDtIw,88ADQark17o9dcffWCSI5g,Salted caramel is the bomb,2014-06-06 00:32:20,0
260,I5Gz8B5z0i9CMjYag3vZUg,Fj9rCU3-ZBlQ1GC6JqWzYg,Make sure they are open before you go there!!! More than once I have gone when their website says they are open to find out they are closed.  Annoying.,2013-05-27 00:10:17,0
356,8cb1hc5yXtGuFnnHljiPYg,O3GBtaoO3GqgDmzOcht1dQ,Omg pina colada!,2011-07-31 23:01:39,0
361,_PKXL0-QRclZQiOYxBbL6A,1Eq16r_MSnvPsnIykBdy9w,"Im from brooklyn and this is the best pizza ive had out of brooklyn hands down! Its terrific! Great sauce, crust and cheese.",2012-01-02 00:19:08,0
385,popeRIYmvUZbSBtufJK2KQ,ViSJjShOLriKWcAR8M5HeQ,Please get the caramel supreme back!!!,2013-02-17 19:01:15,0
422,IgWRYyrzUnRsM1cmymmFTA,IyLLref8p5xTcuO7SpHf-g,All the amazing flavors and my kids love the Vanilla.,2013-11-26 22:48:44,0
436,jnQ6HKXkDqebDu-HpohFnA,0LNkmwHXsMbJIXFHcioGHA,Skip the pastrami sandwich - super stringy and fatty. Good chicken wraps!,2011-04-16 20:55:19,0
576,Ulobi7MU1lPZgIrtQoft2g,dqRt4nu6Tblkqd38R1KKgw,Sooo many toppings. The combinnations are endless!,2013-05-26 05:03:31,0
637,pfv3K_pdIC_NfUpn_WHN-A,g8sJbkPtA78h0yNQQCvGDQ,They always have a different flavored non-dairy option. Perfect for a vegan such as myself!,2013-02-08 23:28:16,0
709,QGn-bhPbfIho_sRPmN3qXg,LCyewI_7wrsro767VQ1whg,Fast and great soups and sandwiches. If you order over the phone it's hard to understand the guy,2012-04-02 20:04:44,0
770,RquYSxdEHbg9Db_qPE5HGQ,5ZZns2J3zIoDCp3Sd_jD6A,Even better flavors are available in their Davis Square location. Oatmeal cookie yogurt!,2009-04-18 22:33:08,0
950,njEa-gaTTxMueydgu0gUkg,1mZLSTUJVGlE7iZIXqZwwg,Weight Watchers Points plus - Small Raspberry Cheesecake = 6 points them add the free fruit.,2011-04-09 22:22:41,0
959,k0_iJys8a5Z_qCggcE8X7w,U-gLJphRmIxNBeX2McXOLQ,Their info says open till 11pm. They are not open. They need to update their hours.,2017-09-26 03:35:13,0
1053,ylIyy1Mvm2e95RYGWGkKYw,ShILLkCk8UZ3H5qJVC5bKA,When in Rome get a carmel late with cinnamon! One of the best espresso's in Portland!,2012-03-27 02:44:56,0
1066,tpToJMvX2xhH9hk8s_cdQw,hPfanzX00-QqkqOXrnHLmg,Soooo weird!,2012-06-03 00:22:04,0
1156,PI51J_fKhEfZKhi-MjWBpg,UZmiE7Hof2tHX3967JChsg,Mmmm...Texas Dirt Cake is mildly chocolate martini-like...,2011-08-09 02:51:28,0
1187,xZx9IFy0XWCH2lH0X4xncw,7AlWcf15waofddj0Dojs1g,"Excellent assortment of flavors. Love plain vanilla, but caramel cone is also sinfully good!",2016-04-27 00:20:54,0
1198,7Ux48lnV7s2tW-Rj5YsaIw,44C-Q1d7M-GoxVKFvouBiA,"The reviews are mostly poor & I agree to that; stale cakes at times & small portion gelato for their priced at. I also noticed there is no list price for their pastries, ie, can charge whatever...",2015-06-07 20:18:36,0
1362,Dv72Kd2tNCOGVpbdBkKsjQ,5Xm9kowxstoPEE7OA8Q76w,Great staff great icecream!,2013-09-12 02:37:56,0
