Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
67,buTr0hMiyDbjQvFJgm-Eew,JP Licks,611 Assembly Row,Somerville,MA,02145,42.3954064535,-71.0794906915,3.5,131,1,"{'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsTableService': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'True', 'WiFi': ""'free'"", 'NoiseLevel': ""'average'"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True'}","Custom Cakes, Desserts, Coffee & Tea, Ice Cream & Frozen Yogurt, Kosher, Food, Restaurants","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-0:0', 'Saturday': '8:0-0:0', 'Sunday': '8:0-23:0'}"
88,EGZ0fhB9k0ZlI5sHda4vFw,Andy's Frozen Custard,5381 International Dr,Orlando,FL,32819,28.4632778,-81.4511805,4.5,36,0,"{'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'Caters': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True'}","Food, Ice Cream & Frozen Yogurt, Restaurants, Breakfast & Brunch, Desserts","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:30', 'Saturday': '11:0-23:30', 'Sunday': '11:0-23:0'}"
91,Npm0cjoyWwyV13OULL9qOA,Nana's Ice Cream Scoop Shop,5224 NE Garfield Ave,Portland,OR,97211,45.5609209,-122.6624474,4.0,5,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'False', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}","Food, Ice Cream & Frozen Yogurt",
254,_74hVYou5lG0sCjc4gsKDg,Scoops N More,"672 Lowell St, Ste 2",Peabody,MA,01960,42.5492913,-71.0066423,4.5,15,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Ice Cream & Frozen Yogurt, Food",
388,N78TSwxdXeYZaKZsyvkryA,Code 10,1638 Washington St,Boston,MA,02118,42.3379247,-71.074729,3.5,112,1,"{'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'True', 'Alcohol': ""'none'"", 'OutdoorSeating': 'True', 'BYOBCorkage': ""'no'"", 'WiFi': ""u'no'"", 'BikeParking': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'""}","Restaurants, Sandwiches, Soup, Delis, Food, Ice Cream & Frozen Yogurt","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}"
561,jE5V1b2JPvo5rCHuQY2zNg,Yo Belle,451 E Altamonte Dr,Altamonte Springs,FL,32701,28.6666123,-81.3774043,3.0,10,0,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Ice Cream & Frozen Yogurt, Food","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '12:0-18:0'}"
571,D8-ssK_8w1WBajKCXUG5Uw,Baja Box,793 Quincy Shore Dr,Quincy,MA,02170,42.2762493274,-71.0088366667,4.0,102,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsTableService': 'False', 'RestaurantsReservations': 'False', 'GoodForKids': 'True'}","Restaurants, Mexican, Food, Tacos, Ice Cream & Frozen Yogurt, Seafood, Sandwiches","{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-20:0'}"
643,T948928ZUluvdt9Hs5H6NQ,Wild Pops,3213 Washington St,Boston,MA,02130,42.3123071,-71.1019004,4.5,11,1,{'RestaurantsDelivery': 'True'},"Specialty Food, Food, Ice Cream & Frozen Yogurt, Candy Stores, Coffee & Tea, Desserts","{'Wednesday': '14:0-18:0', 'Thursday': '14:0-18:0', 'Friday': '14:0-18:0', 'Saturday': '13:0-17:0', 'Sunday': '13:0-17:0'}"
645,iCobTpDQNuSllJ4GcO_lpw,The Candy Castle,1853 Massachusetts Ave,Lexington,MA,02420,42.4484237,-71.2291642,3.5,17,0,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Specialty Food, Desserts, Food, Ice Cream & Frozen Yogurt, Candy Stores","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '11:0-18:0'}"
868,yfU-tGTDMdF6nKISzb25-g,Steak ’n Shake,6075 Emerald Pkwy,Dublin,OH,43016,40.0761750387,-83.1411534,1.5,42,0,"{'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'Alcohol': ""'none'"", 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""'average'"", 'HasTV': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'None'}","American (New), Food, Breakfast & Brunch, Diners, American (Traditional), Burgers, Fast Food, Restaurants, Ice Cream & Frozen Yogurt","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
928,6-HTwJDZ6CvqRNA9E-ymYw,Churro,2505 Webberville,Austin,TX,78756,30.263075,-97.713718,4.5,8,1,"{'DogsAllowed': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Desserts, Ice Cream & Frozen Yogurt, Food, Food Trucks","{'Monday': '0:0-0:0', 'Sunday': '3:0-6:0'}"
