name,city,state,good_suggestion,bad_suggestion,period
Johnson's Real Ice Cream,Bexley,OH,"['It is good and keep to make delicious vanilla food.', 'The buttuer in your shop is very popular for consumers and keep it good.', 'The service here is very good, please keep it good.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'Your home made food  is not very popular for consumers and try to improve it.']",pre covid
Johnson's Real Ice Cream,Bexley,OH,"['+E9 data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']",['Chocolate food looks not good in your shop and tries to improve it.'],after covid
Surf & Scoops Ice Cream Shop,Hull,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']",['Chocolate food looks not good in your shop and tries to improve it.'],pre covid
Surf & Scoops Ice Cream Shop,Hull,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Simply Frozen Yogurt,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Simply Frozen Yogurt,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Dunkin',Winter Park,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Dunkin',Winter Park,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yummi Joy,Austin,TX,"['It is good to see that the food in your shop is soft and keep it.', 'The buttuer in your shop is very popular for consumers and keep it good.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yummi Joy,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The sour food looks not very popular in your shop, try to make other kinds of taste.', 'The food in your shop seems too hard for consumer. Trt to improve it.']",after covid
The Sweeterie,Norwood,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
The Sweeterie,Norwood,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Swirll Frozen Yogurt,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Swirll Frozen Yogurt,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Baskin-Robbins,Beaverton,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Baskin-Robbins,Beaverton,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Taco Cantina,Smyrna,GA,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good to see that the food in your shop is soft and keep it.', 'The service here is very good, please keep it good.']","['The service is not very good, it may make customer feel bad, please improve it.']",pre covid
Taco Cantina,Smyrna,GA,"['The service here is very good, please keep it good.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.']",after covid
Zero Degrees Ice Cream Creations,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Zero Degrees Ice Cream Creations,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Chilly Spoons Frozen Yogurt Bar,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Chilly Spoons Frozen Yogurt Bar,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Dairy Queen,Altamonte Springs,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Dairy Queen,Altamonte Springs,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
The Upper Crust Pizzeria,West Roxbury,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
The Upper Crust Pizzeria,West Roxbury,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Mom & Pop's All-Natural Frozen Pops,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Mom & Pop's All-Natural Frozen Pops,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Orange Leaf Frozen Yogurt,Chelsea,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Orange Leaf Frozen Yogurt,Chelsea,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
RaceTrac,Oviedo,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
RaceTrac,Oviedo,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is somehow poor, please spend more time on improving service process.']",after covid
