Word,positive suggestion,negtive suggestion
chocolate,It is good and keep to make delicious chocolate food.,Chocolate food looks not good in your shop and tries to improve it.
soft,It is good to see that the food in your shop is soft and keep it.,The food in your shop seems not soft or too soft for consumer. Trt to improve it.
vanilla,It is good and keep to make delicious vanilla food.,Vanilla food looks not good in your shop and try to improve it.
butter,The buttuer in your shop is very popular for consumers and keep it good.,The buttuer in your shop is not very popular for consumers and try to improve it.
yummy,It is good to see that the food in your shop is delicious and keep it.,"The food in your shop seems not fit with the taste of consumers, try to make them more delicious."
mint,It is good and keep to make delicious mint food.,Mint food looks not to the taste of consumers and tries to improve it.
delicious,It is good to see that the food in your shop is delicious and keep it.,"The food in your shop seems not fit with the taste of consumers, try to make them more delicious."
refreshing,It is good to see that the food in your shop is refreshing and keep it something new to attract people.,"The food in your shop looks like not refreshing, try something new to attract people."
sour,"People very like some sour food in your shop, just keep it good.","The sour food looks not very popular in your shop, try to make other kinds of taste."
honey,The honey in your shop is very popular for consumers and keep it good.,The honey in your shop is not very popular for consumers and try to improve it.
disgusting,It is good to see that the food in your shop is delicious and keep it.,"The food in your shop seems not fit with the taste of consumers, try to make them more delicious."
bitter,"People very like some bitter food in your shop, just keep it good.","The bitter food looks like not very popular in your shop, try to make other kinds of taste."
homemade,Your home made food  is very popular for consumers and keep it good.,Your home made food  is not very popular for consumers and try to improve it.
creamy,The cream in your shop is very popular for consumers and keep it good.,The cream in your shop is not very popular for consumers and try to improve it.
hard,It is good to see that the food in your shop is soft and keep it.,The food in your shop seems too hard for consumer. Trt to improve it.
fruity,It is good and keep to make delicious fruity food.,Fruity food looks not suitable to the taste of consumers and try to improve it.
nutty,It is good and keep to make delicious nutty food.,Nutty food looks not suitable to the taste of consumers and try to improve it.
soupy,The soupy in your shop is very popular for consumers and keep it good.,The soupy in your shop is not very popular for consumers and try to improve it.
sweetened,People like your sweet food in your shop and keep it.,The food in your is too sweet so reduce sweetness of your food.
